total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy,allocation
3072,MiniGrid-DoorKey-5x5-v0,3072,15,0.13333333333333333,0.08725333333333334,0.22400142221770727,0.0,0.7263999999999999,229.46666666666667,52.85687172817635,76,250,0.02,0.0003,0.2,1.8228717488770043,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
3072,MiniGrid-DoorKey-6x6-v0,3072,15,0.06666666666666667,0.008666666666666666,0.032427697352040825,0.0,0.13,359.2,2.9933259094191524,348,360,0.02,0.0003,0.2,1.8049494594670499,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
3072,MiniGrid-DoorKey-8x8-v0,3072,15,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.7743454166501758,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
3072,MiniGrid-DoorKey-16x16-v0,3072,15,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,2560,2560,0.02,0.0003,0.2,1.7727608961518855,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
6144,MiniGrid-DoorKey-5x5-v0,6144,15,0.4666666666666667,0.1741066666666667,0.23840879029282644,0.0,0.694,214.6,56.07827862312942,85,250,0.02,0.0003,0.2,1.6832806432188272,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
6144,MiniGrid-DoorKey-6x6-v0,6144,15,0.26666666666666666,0.09633333333333333,0.20401974305335147,0.0,0.78,332.1333333333333,68.64485090344036,88,360,0.02,0.0003,0.2,1.62857118574076,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
6144,MiniGrid-DoorKey-8x8-v0,6144,15,0.06666666666666667,0.028604166666666667,0.10702699150084628,0.0,0.4290625,624.4,58.36985523367348,406,640,0.02,0.0003,0.2,1.6399938182206135,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
6144,MiniGrid-DoorKey-16x16-v0,6144,15,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,2560,2560,0.02,0.0003,0.2,1.654201368202145,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
9216,MiniGrid-DoorKey-5x5-v0,9216,15,1.0,0.8761600000000002,0.047574514185643575,0.7696,0.9388,34.4,13.215142829345433,17,64,0.02,0.0003,0.2,1.3329554071976837,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
9216,MiniGrid-DoorKey-6x6-v0,9216,15,1.0,0.7108333333333333,0.20916434261657083,0.21749999999999992,0.9275,115.66666666666667,83.66573704662831,29,313,0.02,0.0003,0.2,1.3838458184575724,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
9216,MiniGrid-DoorKey-8x8-v0,9216,15,0.06666666666666667,0.012104166666666664,0.04528964461907624,0.0,0.18156249999999996,636.1333333333333,14.467741895525903,582,640,0.02,0.0003,0.2,1.49389430165916,"{""MiniGrid-DoorKey-5x5-v0"": 3, ""MiniGrid-DoorKey-6x6-v0"": 3, ""MiniGrid-DoorKey-8x8-v0"": 1, ""MiniGrid-DoorKey-16x16-v0"": 1}"
