total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy
5120,MiniGrid-KeyCorridorS3R1-v0,5120,100,0.46,0.21969999999999998,0.25927895531004186,0.0,0.78,217.89,64.33022539988492,66,270,0.02,0.0003,0.2,1.7347989193875117
10240,MiniGrid-KeyCorridorS3R1-v0,10240,100,1.0,0.9075,0.04692399291525722,0.6933333333333334,0.9533333333333334,27.75,14.07719787457717,14,92,0.02,0.0003,0.2,0.3812501760511071
15360,MiniGrid-KeyCorridorS3R1-v0,15360,100,0.4,0.2365,0.323393250462103,0.0,0.9133333333333333,211.05,84.10878372679039,26,270,0.02,0.0003,0.2,0.12389252180413277
20480,MiniGrid-KeyCorridorS3R1-v0,20480,100,1.0,0.9250666666666666,0.02492424076632581,0.7933333333333333,0.9533333333333334,22.48,7.477272229897745,14,62,0.02,0.0003,0.2,0.43457807155785966
25600,MiniGrid-KeyCorridorS3R1-v0,25600,100,0.99,0.9126333333333335,0.09795724123877268,0.0,0.9533333333333334,25.91,26.612814582452568,14,270,0.02,0.0003,0.2,0.55297345153258
30720,MiniGrid-KeyCorridorS3R1-v0,30720,100,1.0,0.9438333333333333,0.01276605742671645,0.8666666666666667,0.9533333333333334,16.85,3.8298172280149343,14,40,0.02,0.0003,0.2,0.26181391433740375
35840,MiniGrid-KeyCorridorS3R1-v0,35840,100,1.0,0.9357,0.02011795770505103,0.8266666666666667,0.9533333333333334,19.29,6.03538731151531,14,52,0.02,0.0003,0.2,0.4349243409115048
40960,MiniGrid-KeyCorridorS3R1-v0,40960,100,1.0,0.9326333333333332,0.01879890658758878,0.8566666666666667,0.9533333333333334,20.21,5.6396719762766345,14,43,0.02,0.0003,0.2,0.3989606783264389
46080,MiniGrid-KeyCorridorS3R2-v0,5120,100,0.32,0.18486666666666665,0.2839406902075776,0.0,0.79,224.14,72.0352719159163,63,270,0.02,0.0003,0.2,1.086712308174453
51200,MiniGrid-KeyCorridorS3R2-v0,10240,100,0.74,0.5213666666666668,0.3460128754829797,0.0,0.89,135.79,92.24102070120429,33,270,0.02,0.0003,0.2,1.0623157720661502
56320,MiniGrid-KeyCorridorS3R2-v0,15360,100,0.95,0.7052333333333333,0.20266077568192617,0.0,0.9366666666666666,86.93,55.71772698163484,19,270,0.02,0.0003,0.2,1.004605336412495
61440,MiniGrid-KeyCorridorS3R2-v0,20480,100,0.95,0.7451000000000002,0.21665510481972133,0.0,0.95,74.97,59.972569563092755,15,270,0.02,0.0003,0.2,0.6347978584978503
66560,MiniGrid-KeyCorridorS3R2-v0,25600,100,0.98,0.8428,0.1453713405959602,0.0,0.9466666666666667,46.56,40.20182085428469,16,270,0.02,0.0003,0.2,0.6049592539154887
71680,MiniGrid-KeyCorridorS3R2-v0,30720,100,0.99,0.8785000000000001,0.10303977117814482,0.0,0.95,36.15,28.395906395112657,15,270,0.02,0.0003,0.2,0.6175780410583129
76800,MiniGrid-KeyCorridorS3R2-v0,35840,100,0.9,0.7635333333333333,0.28379132396103224,0.0,0.9533333333333334,67.94,77.1687527435814,14,270,0.02,0.0003,0.2,0.6287357191982361
81920,MiniGrid-KeyCorridorS3R3-v0,5120,100,0.17,0.09803333333333333,0.2352573508120652,0.0,0.8433333333333333,245.69,60.36152665398714,47,270,0.02,0.0003,0.2,1.4960983880282428
87040,MiniGrid-KeyCorridorS3R3-v0,10240,100,0.29,0.1472,0.26380789306699004,0.0,0.8466666666666667,234.54,67.58408392513729,46,270,0.02,0.0003,0.2,1.3880064727899089
92160,MiniGrid-KeyCorridorS3R3-v0,15360,100,0.09,0.043533333333333334,0.15128032845607448,0.0,0.7366666666666667,259.64,37.68753640130912,79,270,0.02,0.0003,0.2,1.4504936879551529
97280,MiniGrid-KeyCorridorS3R3-v0,20480,100,0.07,0.02543333333333333,0.10368826677433986,0.0,0.6633333333333333,264.47,24.50406292842067,101,270,0.02,0.0003,0.2,1.543503398710022
102400,MiniGrid-KeyCorridorS3R3-v0,25600,100,0.05,0.019833333333333335,0.09066099859733877,0.0,0.5233333333333332,265.55,21.055818673231396,143,270,0.02,0.0003,0.2,1.60959362015418
107520,MiniGrid-KeyCorridorS3R3-v0,30720,100,0.0,0.0,0.0,0.0,0.0,270.0,0.0,270,270,0.02,0.0003,0.2,1.6153191702697014
112640,MiniGrid-KeyCorridorS3R3-v0,35840,100,0.0,0.0,0.0,0.0,0.0,270.0,0.0,270,270,0.02,0.0003,0.2,1.5715611630280812
