total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy
5120,direct,5120,100,0.03,0.011423437499999998,0.07022774021428758,0.0,0.59359375,634.01,38.99320325390054,289,640,0.02,0.0003,0.2,1.7739185555213859
10240,direct,10240,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6567110170572996
15360,direct,15360,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.7062577628232538
20480,direct,20480,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.7465312404371804
25600,direct,25600,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6733448857944455
30720,direct,30720,100,0.01,0.005064062499999999,0.05038678568222742,0.0,0.50640625,637.11,28.755136932381323,351,640,0.02,0.0003,0.2,1.6138080574243656
35840,direct,35840,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.5722868855160195
40960,direct,40960,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6998684227154592
46080,direct,46080,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6334657340734262
51200,direct,51200,100,0.01,0.0013656250000000003,0.01358779718798729,0.0,0.13656250000000003,639.74,2.586967336477211,614,640,0.02,0.0003,0.2,1.550169909925056
56320,direct,56320,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6573520574094727
61440,direct,61440,100,0.0,0.0,0.0,0.0,0.0,640.0,0.0,640,640,0.02,0.0003,0.2,1.6132508337059988
66560,direct,66560,100,0.02,0.0111546875,0.08185452957063813,0.0,0.73140625,633.49,48.8023554759399,191,640,0.02,0.0003,0.2,1.649023328481468
